Op	InType	OutType	Template	DesignStat	DPD	TWDFR
dotnet_shift_right_by_6	signed32	signed32	sync	impl	1,087	-0,066
mul_by_64	unsigned8	unsigned8	sync	impl	0,775	-0,042
mul_by_64	unsigned16	unsigned16	sync	impl	0,775	-0,042
mul_by_64	unsigned32	unsigned32	sync	impl	0,787	-0,098
mul_by_64	unsigned64	unsigned64	sync	impl	0,809	-0,098
mul_by_64	signed8	signed8	sync	impl	0,775	-0,042
mul_by_64	signed16	signed16	sync	impl	0,775	-0,042
mul_by_64	signed32	signed32	sync	impl	0,787	-0,098
mul_by_64	signed64	signed64	sync	impl	0,809	-0,098
div_by_64	unsigned8	unsigned8	sync	impl	0,775	-0,042
div_by_64	unsigned16	unsigned16	sync	impl	0,736	-0,071
div_by_64	unsigned32	unsigned32	sync	impl	0,813	-0,085
div_by_64	unsigned64	unsigned64	sync	impl	0,809	-0,098
div_by_64	signed8	signed8	sync	impl	2,375	-0,071
div_by_64	signed16	signed16	sync	impl	3,769	-0,103
div_by_64	signed32	signed32	sync	impl	4,073	-0,104
div_by_64	signed64	signed64	sync	impl	4,795	-0,107
dotnet_shift_left_by_7	unsigned64	unsigned64	sync	impl	0,811	-0,080
dotnet_shift_left_by_7	signed64	signed64	sync	impl	0,811	-0,080
dotnet_shift_right_by_7	unsigned64	unsigned64	sync	impl	1,152	-0,019
dotnet_shift_right_by_7	signed64	signed64	sync	impl	1,251	-0,073
dotnet_shift_left_by_7	unsigned32	unsigned32	sync	impl	0,811	-0,080
dotnet_shift_left_by_7	signed32	signed32	sync	impl	0,811	-0,080
dotnet_shift_right_by_7	unsigned32	unsigned32	sync	impl	0,809	-0,098
dotnet_shift_right_by_7	signed32	signed32	sync	impl	1,221	-0,090
mul_by_128	unsigned8	unsigned8	sync	impl	0,899	-0,066
mul_by_128	unsigned16	unsigned16	sync	impl	0,807	-0,060
mul_by_128	unsigned32	unsigned32	sync	impl	0,811	-0,080
mul_by_128	unsigned64	unsigned64	sync	impl	0,811	-0,080
mul_by_128	signed16	signed16	sync	impl	0,807	-0,060
mul_by_128	signed32	signed32	sync	impl	0,811	-0,080
mul_by_128	signed64	signed64	sync	impl	0,811	-0,080
div_by_128	unsigned8	unsigned8	sync	impl	0,556	-0,066
